subyekt,nomer subyekta,y1,y2,y3,y4,y5,y,god,x
Belgorodskaya oblast ,31,33,2.3,1.5,39.5,23.7,13866.3,2016,5.38
Bryanskaya oblast ,32,41.5,2.4,1.5,30.6,24,10800.1,2016,5.38
Bladimirskaya oblast ,33,36.3,1.8,1.2,32.1,28.5,12420.2,2016,5.38
Boronezhskaya oblast ,36,37.8,0.6,2.1,36.3,23.2,12211.4,2016,5.38
Ivanovskaya oblast ,37,35.4,2.7,2.4,36.1,23.4,14918.5,2016,5.38
Kaluzhskaya oblast ,40,34.4,3.7,1.9,35.5,24.5,15170.1,2016,5.38
Kostromskaya oblast ,44,33.9,4.4,2.3,37.2,22.2,12499.1,2016,5.38
Kurskaya oblast ,46,31.1,2.3,1.3,44.2,21.1,12657.1,2016,5.38
Lipetskaya oblast ,48,34.2,1.4,1.6,38,24.8,12340.5,2016,5.38
Moskovskaya oblast ,50,25.9,3,1.3,33.4,36.2,18887.9,2016,5.38
Orlovskaya oblast ,57,31.6,1.2,1.3,42.8,23.1,12193.5,2016,5.38
Pyazanskaya oblast ,62,40.5,0.6,1.7,30,27.1,10654.9,2016,5.38
Cmolenskaya oblast ,67,43.3,1.3,1.3,28.8,25.2,10109.1,2016,5.38
Tambovskaya oblast ,68,30.5,0.6,1.6,41.1,26.2,9468.4,2016,5.38
Tverskaya oblast ,69,38.8,2.5,2.1,32.9,23.7,14427.8,2016,5.38
Tulskaya oblast ,71,37.3,1.5,1.6,34.2,25.3,13210.2,2016,5.38
Yaroslavskaya oblast ,76,33.8,2.1,2,34.2,27.9,14032.2,2016,5.38
g.Moskva ,77,26.5,6.2,2.2,35.3,29.9,27586.3,2016,5.38
Respublika Kareliya ,10,34.2,2.4,2.3,34.2,26.8,15248,2016,5.38
Respublika Komi ,11,33.1,1.7,1.9,33.1,30.3,15914.4,2016,5.38
Arkhangelskaya oblast ,29,30.5,3.4,1.9,39.9,24.2,16501,2016,5.38
Nenetskiy avt. okrug ,83,32.6,0.2,1.8,37.7,27.6,20631.9,2016,5.38
Bologodskaya oblast ,35,37.2,4.5,1.7,30.5,26,13588.8,2016,5.38
Kaliningradskaya oblast ,39,36.6,3,1.5,35.5,23.4,13623.7,2016,5.38
Leningradskaya oblast ,47,36.5,2.5,1.7,28.8,30.4,13993,2016,5.38
Murmanskaya oblast ,51,28,2.7,2.2,37.5,29.5,21230.2,2016,5.38
Hovgorodskaya oblast ,53,34.3,3.2,1.3,38.8,22.3,13674.7,2016,5.38
Pskovskaya oblast ,60,38,2.6,1.5,33.4,24.5,11780.5,2016,5.38
g. Sankt-Peterburg ,78,29.1,6.2,1.8,31.6,31.3,23327.5,2016,5.38
Respublika Adygeya ,1,38.4,1.8,1.3,34.8,23.6,11534.5,2016,5.38
Respublika Kalmykiya ,8,37.8,1.7,1.4,36,23.1,8526.3,2016,5.38
Krasnodarskiy kray ,23,31.7,2.7,1.6,42.1,21.9,14923,2016,5.38
Astrakhanskaya oblast ,30,35.7,3.2,1.8,38.6,20.7,15429,2016,5.38
Bolgogradskaya oblast ,34,31.1,0.8,1.3,43.7,23.1,13372.4,2016,5.38
Postovskaya oblast ,61,33.3,5.3,2.2,32,27.1,13254.6,2016,5.38
Respublika Krym ,91,48.5,1.9,1.6,32.6,15.4,9345.2,2016,5.38
g. Sevastopol ,92,41.4,2,2.1,36.2,18.3,13270.7,2016,5.38
Respublika Dagestan ,5,58.7,0.1,0.5,28.9,11.8,8459.2,2016,5.38
Respublika Ingushetiya ,6,44.7,2.4,0,38.1,14.9,6713.8,2016,5.38
Kabardino-Balkarskaya Respublika ,7,39.8,0.9,0.5,36.1,22.8,10259.1,2016,5.38
Karachaevo-Cherkesskaya Respublika ,9,38.5,0.7,0.7,36.2,23.9,10195,2016,5.38
Respublika Severnaya Osetiya-,15,35.8,1.2,0.5,39.4,23.1,11034.4,2016,5.38
Chechenskaya Respublika ,20,40.4,2,0,41.6,16,9887.4,2016,5.38
Ctavropolskiy kray ,26,32.7,1.9,1.7,37.6,26.2,11586.7,2016,5.38
Respublika Bashkortostan ,2,32.8,3.7,2.2,37.1,24.2,13344.4,2016,5.38
Respublika Mariy El ,12,30.3,1.5,1.5,46.4,20.3,11403.8,2016,5.38
Respublika Mordoviya ,13,37.8,1.7,1.5,35.3,23.6,9936.9,2016,5.38
Respublika Tatarstan ,16,25.9,5.9,1.9,41.9,24.3,14933.5,2016,5.38
Udmurtskaya Respublika ,18,29,3.8,2.4,38.7,26.1,12728.7,2016,5.38
Chuvashskaya Respublika ,21,32.8,2.5,1.7,37.2,25.9,9977,2016,5.38
