subyekt;nomer regiona;y1;y2;y3;y4;y5;y;god;x1
Belgorodskaya oblast ;1;33,00;44987,00;45047,00;39.5;45130,00;13866.3;2016,00;14001,00
Bryanskaya oblast ;2;41.5;45018,00;45047,00;45107,00;24,00;10800.1;2016,00;14001,00
Bladimirskaya oblast ;3;36.3;45139,00;44958,00;32.1;45074,00;12420.2;2016,00;14001,00
Boronezhskaya oblast ;4;37.8;0.6;44928,00;36.3;44980,00;12211.4;2016,00;14001,00
Ivanovskaya oblast ;5;35.4;45109,00;45018,00;36.1;45039,00;14918.5;2016,00;14001,00
Kaluzhskaya oblast ;6;34.4;45110,00;45170,00;35.5;45070,00;15170.1;2016,00;14001,00
Kostromskaya oblast ;7;33.9;45020,00;44987,00;37.2;44979,00;12499.1;2016,00;14001,00
Kurskaya oblast ;8;44957,00;44987,00;44986,00;44.2;44947,00;12657.1;2016,00;14001,00
Lipetskaya oblast ;9;34.2;45017,00;45078,00;38,00;45162,00;12340.5;2016,00;14001,00
Moskovskaya oblast ;10;45194,00;3,00;44986,00;33.4;36.2;18887.9;2016,00;14001,00
Orlovskaya oblast ;11;31.6;44958,00;44986,00;42.8;44949,00;12193.5;2016,00;14001,00
Pyazanskaya oblast ;12;40.5;0.6;45108,00;30,00;44953,00;10654.9;2016,00;14001,00
Cmolenskaya oblast ;13;43.3;44986,00;44986,00;45166,00;44982,00;10109.1;2016,00;14001,00
Tambovskaya oblast ;14;45076,00;0.6;45078,00;41.1;44983,00;9468.4;2016,00;14001,00
Tverskaya oblast ;15;38.8;45048,00;44928,00;32.9;45130,00;14427.8;2016,00;14001,00
Tulskaya oblast ;16;37.3;45047,00;45078,00;34.2;45010,00;13210.2;2016,00;14001,00
Yaroslavskaya oblast ;17;33.8;44928,00;2,00;34.2;45196,00;14032.2;2016,00;14001,00
g.Moskva ;18;45072,00;44963,00;44959,00;35.3;45198,00;27586.3;2016,00;14001,00
Respublika Kareliya ;19;34.2;45018,00;44987,00;34.2;45164,00;15248,00;2016,00;14001,00
Respublika Komi ;20;33.1;45108,00;45170,00;33.1;45015,00;15914.4;2016,00;14001,00
Arkhangelskaya oblast ;21;45076,00;45019,00;45170,00;39.9;44981,00;16501,00;2016,00;14001,00
Nenetskiy avt. okrug ;22;32.6;0.2;45139,00;37.7;45104,00;20631.9;2016,00;14001,00
Bologodskaya oblast ;23;37.2;45050,00;45108,00;45076,00;26,00;13588.8;2016,00;14001,00
Kaliningradskaya oblast ;24;36.6;3,00;45047,00;35.5;45039,00;13623.7;2016,00;14001,00
Leningradskaya oblast ;25;36.5;45048,00;45108,00;45166,00;45046,00;13993,00;2016,00;14001,00
Murmanskaya oblast ;26;28,00;45109,00;44959,00;37.5;45075,00;21230.2;2016,00;14001,00
Hovgorodskaya oblast ;27;34.3;44960,00;44986,00;38.8;45007,00;13674.7;2016,00;14001,00
Pskovskaya oblast ;28;38,00;45079,00;45047,00;33.4;45070,00;11780.5;2016,00;14001,00
g. Sankt-Peterburg ;29;44955,00;44963,00;45139,00;31.6;45016,00;23327.5;2016,00;14001,00
Respublika Adygeya ;30;38.4;45139,00;44986,00;34.8;45100,00;11534.5;2016,00;14001,00
Respublika Kalmykiya ;31;37.8;45108,00;45017,00;36,00;44949,00;8526.3;2016,00;14001,00
