subyekt;nomer regiona;y1;y2;y3;y4;y5;y;god;x1
Belgorodskaya oblast ;1;33;44987;45047;39.5;45130;13866.3;2016;14001
Bryanskaya oblast ;2;41.5;45018;45047;45107;24;10800.1;2016;14001
Bladimirskaya oblast ;3;36.3;45139;44958;32.1;45074;12420.2;2016;14001
Boronezhskaya oblast ;4;37.8;0.6;44928;36.3;44980;12211.4;2016;14001
Ivanovskaya oblast ;5;35.4;45109;45018;36.1;45039;14918.5;2016;14001
Kaluzhskaya oblast ;6;34.4;45110;45170;35.5;45070;15170.1;2016;14001
Kostromskaya oblast ;7;33.9;45020;44987;37.2;44979;12499.1;2016;14001
Kurskaya oblast ;8;44957;44987;44986;44.2;44947;12657.1;2016;14001
Lipetskaya oblast ;9;34.2;45017;45078;38;45162;12340.5;2016;14001
Moskovskaya oblast ;10;45194;3;44986;33.4;36.2;18887.9;2016;14001
Orlovskaya oblast ;11;31.6;44958;44986;42.8;44949;12193.5;2016;14001
Pyazanskaya oblast ;12;40.5;0.6;45108;30;44953;10654.9;2016;14001
Cmolenskaya oblast ;13;43.3;44986;44986;45166;44982;10109.1;2016;14001
Tambovskaya oblast ;14;45076;0.6;45078;41.1;44983;9468.4;2016;14001
Tverskaya oblast ;15;38.8;45048;44928;32.9;45130;14427.8;2016;14001
Tulskaya oblast ;16;37.3;45047;45078;34.2;45010;13210.2;2016;14001
Yaroslavskaya oblast ;17;33.8;44928;2;34.2;45196;14032.2;2016;14001
g.Moskva ;18;45072;44963;44959;35.3;45198;27586.3;2016;14001
Respublika Kareliya ;19;34.2;45018;44987;34.2;45164;15248;2016;14001
Respublika Komi ;20;33.1;45108;45170;33.1;45015;15914.4;2016;14001
Arkhangelskaya oblast ;21;45076;45019;45170;39.9;44981;16501;2016;14001
Nenetskiy avt. okrug ;22;32.6;0.2;45139;37.7;45104;20631.9;2016;14001
Bologodskaya oblast ;23;37.2;45050;45108;45076;26;13588.8;2016;14001
Kaliningradskaya oblast ;24;36.6;3;45047;35.5;45039;13623.7;2016;14001
Leningradskaya oblast ;25;36.5;45048;45108;45166;45046;13993;2016;14001
Murmanskaya oblast ;26;28;45109;44959;37.5;45075;21230.2;2016;14001
Hovgorodskaya oblast ;27;34.3;44960;44986;38.8;45007;13674.7;2016;14001
Pskovskaya oblast ;28;38;45079;45047;33.4;45070;11780.5;2016;14001
g. Sankt-Peterburg ;29;44955;44963;45139;31.6;45016;23327.5;2016;14001
Respublika Adygeya ;30;38.4;45139;44986;34.8;45100;11534.5;2016;14001
Respublika Kalmykiya ;31;37.8;45108;45017;36;44949;8526.3;2016;14001
Krasnodarskiy kray ;32;45138;45109;45078;42.1;45190;14923;2016;14001
Astrakhanskaya oblast ;33;35.7;44960;45139;38.6;45127;15429;2016;14001
Bolgogradskaya oblast ;34;44957;0.8;44986;43.7;44949;13372.4;2016;14001
Postovskaya oblast ;35;33.3;44990;44959;32;44953;13254.6;2016;14001
Respublika Krym ;36;48.5;45170;45078;32.6;45031;9345.2;2016;14001
g. Sevastopol ;37;41.4;2;44928;36.2;45003;13270.7;2016;14001
Respublika Dagestan ;38;58.7;0.1;0.5;45197;45149;8459.2;2016;14001
Respublika Ingushetiya ;39;44.7;45018;0;38.1;45183;6713.8;2016;14001
Kabardino-Balkarskaya Respublika ;40;39.8;0.9;0.5;36.1;45160;10259.1;2016;14001
Karachaevo-Cherkesskaya Respublika ;41;38.5;0.7;0.7;36.2;45192;10195;2016;14001
Respublika Severnaya Osetiya-;42;35.8;44958;0.5;39.4;44949;11034.4;2016;14001
Chechenskaya Respublika ;43;40.4;2;0;41.6;16;9887.4;2016;14001
Ctavropolskiy kray ;44;32.7;45170;45108;37.6;44983;11586.7;2016;14001
Respublika Bashkortostan ;45;32.8;45110;44959;37.1;44981;13344.4;2016;14001
Respublika Mariy El ;46;45015;45047;45047;46.4;45005;11403.8;2016;14001
Respublika Mordoviya ;47;37.8;45108;45047;35.3;45100;9936.9;2016;14001
Respublika Tatarstan ;48;45194;45174;45170;41.9;45009;14933.5;2016;14001
Udmurtskaya Respublika ;49;29;45141;45018;38.7;44952;12728.7;2016;14001
Chuvashskaya Respublika ;50;32.8;45048;45108;37.2;45194;9977;2016;14001
Permskiy kray ;51;45077;45171;2;36.1;45073;13090.2;2016;14001
Kirovskaya oblast ;52;30.2;6;45109;36.9;44981;13272.7;2016;14001
Hizhegorodskaya oblast ;53;45195;4;45108;39.9;45073;17377.7;2016;14001
Orenburgskaya oblast ;54;31;44988;44986;38.9;45132;12136.9;2016;14001
Penzenskaya oblast ;55;37.4;45139;45048;38.8;45065;12567;2016;14001
Camarskaya oblast ;56;33.2;44988;2;36.5;25;15112.8;2016;14001
Caratovskaya oblast ;57;39.9;1;44986;32.8;25;10639.6;2016;14001
Ulyanovskaya oblast ;58;37.8;45139;44986;32.2;45195;11998;2016;14001
Kurganskaya oblast ;59;45046;45171;45047;41.8;45039;11388.9;2016;14001
Cverdlovskaya oblast ;60;31.2;44989;44959;32.5;45167;15383.4;2016;14001
Tyumenskaya oblast ;61;44985;2;45047;39;29.2;17768.9;2016;14001
  Khanty-Mansiyskiy avt.okrug ;62;44950;2;45108;41.9;45015;21797.9;2016;14001
  Yamalo-Nenetskiy avt. okrug ;63;44951;45079;45170;39.8;45107;23442.1;2016;14001
Chelyabinskaya oblast ;64;44955;45110;45017;37.1;45105;14517.5;2016;14001
Respublika Altay ;65;45107;0.6;0.9;43.9;24;9841.2;2016;14001
Respublika Buryatiya ;66;43.7;45170;44986;32;44947;10200.8;2016;14001
Respublika Tyva ;67;36.9;45139;44958;38.1;22;7858.5;2016;14001
Respublika Khakasiya ;68;32.2;45108;44986;40.1;45131;11281.6;2016;14001
Altayskiy kray ;69;45138;44958;45078;41.9;45069;11061.7;2016;14001
Zabaykalskiy kray ;70;36.2;45080;44959;33.7;45040;12368.3;2016;14001
Krasnoyarskiy kray ;71;45043;2;2;39.6;44955;16952.8;2016;14001
Irkutskaya oblast ;72;45107;45139;45017;45.5;45158;13585.2;2016;14001
Kemerovskaya oblast ;73;33.9;45047;45108;37.3;45102;11925.7;2016;14001
Hovosibirskaya oblast ;74;32.9;45048;45109;38;24;12239.4;2016;14001
Omskaya oblast ;75;35.8;45142;2;45015;44953;12053.5;2016;14001
Tomskaya oblast ;76;45167;2;44928;42.1;45192;13616.1;2016;14001
Respublika Sakha(Yakutiya) ;77;34.9;45108;1;33.6;45135;18202.8;2016;14001
Kamchatskiy kray ;78;34.1;44927;2;36.9;45194;26713.8;2016;14001
Primorskiy kray ;79;33.6;44963;45139;34;45009;17268.6;2016;14001
Xabarovskiy kray ;80;44983;45080;2;37.7;45076;21656.4;2016;14001
Amurskaya oblast ;81;45199;45017;45108;35.3;45168;14744.8;2016;14001
Magadanskaya oblast ;82;40;45018;2;29.2;45042;22445.7;2016;14001
Cakhalinskaya oblast ;83;31.4;44928;45139;38.6;44952;20547.1;2016;14001
Evreyskaya avt. oblast ;84;33.9;45108;44959;37.7;45040;13157.6;2016;14001
Chukotskiy avt. okrug ;85;38.8;0.4;44959;26;32.7;23953;2016;14001
