номер региона;y1;y2;y3;y4;y5;y;год;x1;субъект
1;33;2,3;1,5;39,5;23,7;13866,30;2016;5,38;Белгородская область 
2;41,5;2,4;1,5;30,6;24;10800,10;2016;5,38;Брянская область 
3;36,3;1,8;1,2;32,1;28,5;12420,20;2016;5,38;Bладимирская область 
4;37,8;0,6;2,1;36,3;23,2;12211,40;2016;5,38;Bоронежская область 
5;35,4;2,7;2,4;36,1;23,4;14918,50;2016;5,38;Ивановская область 
6;34,4;3,7;1,9;35,5;24,5;15170,10;2016;5,38;Kалужская область 
7;33,9;4,4;2,3;37,2;22,2;12499,10;2016;5,38;Kостромская область 
8;31,1;2,3;1,3;44,2;21,1;12657,10;2016;5,38;Kурская область 
9;34,2;1,4;1,6;38;24,8;12340,50;2016;5,38;Липецкая область 
10;25,9;3;1,3;33,4;36,2;18887,90;2016;5,38;Mосковская область 
11;31,6;1,2;1,3;42,8;23,1;12193,50;2016;5,38;Oрловская область 
12;40,5;0,6;1,7;30;27,1;10654,90;2016;5,38;Pязанская область 
13;43,3;1,3;1,3;28,8;25,2;10109,10;2016;5,38;Cмоленская область 
14;30,5;0,6;1,6;41,1;26,2;9468,40;2016;5,38;Tамбовская область 
15;38,8;2,5;2,1;32,9;23,7;14427,80;2016;5,38;Tверская область 
16;37,3;1,5;1,6;34,2;25,3;13210,20;2016;5,38;Tульская область 
17;33,8;2,1;2;34,2;27,9;14032,20;2016;5,38;Ярославская область 
18;26,5;6,2;2,2;35,3;29,9;27586,30;2016;5,38;г.Москва 
19;34,2;2,4;2,3;34,2;26,8;15248,00;2016;5,38;Республика Карелия 
20;33,1;1,7;1,9;33,1;30,3;15914,40;2016;5,38;Республика Коми 
21;30,5;3,4;1,9;39,9;24,2;16501,00;2016;5,38;Aрхангельская область 
22;32,6;0,2;1,8;37,7;27,6;20631,90;2016;5,38;Ненецкий авт. округ 
23;37,2;4,5;1,7;30,5;26;13588,80;2016;5,38;Bологодская область 
24;36,6;3;1,5;35,5;23,4;13623,70;2016;5,38;Калининградская область 
25;36,5;2,5;1,7;28,8;30,4;13993,00;2016;5,38;Ленинградская область 
26;28;2,7;2,2;37,5;29,5;21230,20;2016;5,38;Mурманская область 
27;34,3;3,2;1,3;38,8;22,3;13674,70;2016;5,38;Hовгородская область 
28;38;2,6;1,5;33,4;24,5;11780,50;2016;5,38;Псковская область 
29;29,1;6,2;1,8;31,6;31,3;23327,50;2016;5,38;г. Санкт-Петербург 
30;38,4;1,8;1,3;34,8;23,6;11534,50;2016;5,38;Республика Адыгея 
31;37,8;1,7;1,4;36;23,1;8526,30;2016;5,38;Республика Калмыкия 
32;31,7;2,7;1,6;42,1;21,9;14923,00;2016;5,38;Kраснодарский край 
33;35,7;3,2;1,8;38,6;20,7;15429,00;2016;5,38;Aстраханская область 
34;31,1;0,8;1,3;43,7;23,1;13372,40;2016;5,38;Bолгоградская область 
35;33,3;5,3;2,2;32;27,1;13254,60;2016;5,38;Pостовская область 
36;48,5;1,9;1,6;32,6;15,4;9345,20;2016;5,38;Республика Крым 
37;41,4;2;2,1;36,2;18,3;13270,70;2016;5,38;г. Севастополь 
38;58,7;0,1;0,5;28,9;11,8;8459,20;2016;5,38;Республика Дагестан 
39;44,7;2,4;0;38,1;14,9;6713,80;2016;5,38;Республика Ингушетия 
40;39,8;0,9;0,5;36,1;22,8;10259,10;2016;5,38;Кабардино-Балкарская Республика 
41;38,5;0,7;0,7;36,2;23,9;10195,00;2016;5,38;Карачаево-Черкесская Республика 
42;35,8;1,2;0,5;39,4;23,1;11034,40;2016;5,38;Республика Северная Осетия-
43;40,4;2;0;41,6;16;9887,40;2016;5,38;Чеченская Республика 
44;32,7;1,9;1,7;37,6;26,2;11586,70;2016;5,38;Cтавропольский край 
45;32,8;3,7;2,2;37,1;24,2;13344,40;2016;5,38;Республика Башкортостан 
46;30,3;1,5;1,5;46,4;20,3;11403,80;2016;5,38;Республика Mарий Эл 
47;37,8;1,7;1,5;35,3;23,6;9936,90;2016;5,38;Республика Мордовия 
48;25,9;5,9;1,9;41,9;24,3;14933,50;2016;5,38;Республика Татарстан 
49;29;3,8;2,4;38,7;26,1;12728,70;2016;5,38;Удмуртская Республика 
50;32,8;2,5;1,7;37,2;25,9;9977,00;2016;5,38;Чувашская Республика 
51;31,5;2,9;2;36,1;27,5;13090,20;2016;5,38;Пермский край 
52;30,2;6;2,7;36,9;24,2;13272,70;2016;5,38;Кировская область 
53;26,9;4;1,7;39,9;27,5;17377,70;2016;5,38;Hижегородская область 
54;31;3,3;1,3;38,9;25,7;12136,90;2016;5,38;Oренбургская область 
55;37,4;1,8;2,5;38,8;19,5;12567,00;2016;5,38;Пензенская область 
56;33,2;3,3;2;36,5;25;15112,80;2016;5,38;Cамарская область 
57;39,9;1;1,3;32,8;25;10639,60;2016;5,38;Cаратовская область 
58;37,8;1,8;1,3;32,2;26,9;11998,00;2016;5,38;Ульяновская область 
59;30,4;2,9;1,5;41,8;23,4;11388,90;2016;5,38;Kурганская область 
60;31,2;4,3;2,2;32,5;29,8;15383,40;2016;5,38;Cвердловская область 
61;28,2;2;1,5;39;29,2;17768,90;2016;5,38;Tюменская область 
62;24,1;2;1,7;41,9;30,3;21797,90;2016;5,38;  Ханты-Мансийский авт.округ 
63;25,1;2,6;1,9;39,8;30,6;23442,10;2016;5,38;  Ямало-Ненецкий авт. округ 
64;29,1;3,7;1,4;37,1;28,6;14517,50;2016;5,38;Челябинская область 
65;30,6;0,6;0,9;43,9;24;9841,20;2016;5,38;Республика Алтай 
66;43,7;1,9;1,3;32;21,1;10200,80;2016;5,38;Республика Бурятия 
67;36,9;1,8;1,2;38,1;22;7858,50;2016;5,38;Республика Тыва 
68;32,2;1,7;1,3;40,1;24,7;11281,60;2016;5,38;Республика Хакасия 
69;31,7;1,2;1,6;41,9;23,5;11061,70;2016;5,38;Aлтайский край 
70;36,2;3,6;2,2;33,7;24,4;12368,30;2016;5,38;Забайкальский край 
71;27,4;2;2;39,6;29,1;16952,80;2016;5,38;Kрасноярский край 
72;30,6;1,8;1,4;45,5;20,8;13585,20;2016;5,38;Иркутская область 
73;33,9;1,5;1,7;37,3;25,6;11925,70;2016;5,38;Kемеровская область 
74;32,9;2,5;2,7;38;24;12239,40;2016;5,38;Hовосибирская область 
75;35,8;4,8;2;30,3;27,1;12053,50;2016;5,38;Oмская область 
76;29,8;2;2,1;42,1;23,9;13616,10;2016;5,38;Tомская область 
77;34,9;1,7;1;33,6;28,7;18202,80;2016;5,38;Республика Саха(Якутия) 
78;34,1;1,1;2;36,9;25,9;26713,80;2016;5,38;Камчатский край 
79;33,6;6,2;1,8;34;24,3;17268,60;2016;5,38;Приморский край 
80;26,2;3,6;2;37,7;30,5;21656,40;2016;5,38;Xабаровский край 
81;30,9;1,4;1,7;35,3;30,8;14744,80;2016;5,38;Aмурская область 
82;40;2,4;2;29,2;26,4;22445,70;2016;5,38;Mагаданская область 
83;31,4;2,1;1,8;38,6;26,1;20547,10;2016;5,38;Cахалинская область 
84;33,9;1,7;2,2;37,7;24,4;13157,60;2016;5,38;Еврейская авт. область 
85;38,8;0,4;2,2;26;32,7;23953,00;2016;5,38;Чукотский авт. округ 
1;29,9;3,8;1,3;42;23;18084,00;2017;2,52;Белгородская область 
2;41,9;1,6;1,3;31,8;23,4;12121,80;2017;2,52;Брянская область 
3;35,6;1,8;1,3;35,3;26;14509,00;2017;2,52;Bладимирская область 
4;32,3;0,8;1,3;42,4;23,2;14269,90;2017;2,52;Bоронежская область 
5;29;2,4;2,3;41;25,3;17259,00;2017;2,52;Ивановская область 
6;34,2;2,2;2,2;40,5;20,9;17248,30;2017;2,52;Kалужская область 
7;33,1;2,5;2,2;39,3;22,9;15137,80;2017;2,52;Kостромская область 
8;32,2;2,3;1,8;42,8;20,9;14842,20;2017;2,52;Kурская область 
9;35,2;1,7;1,5;36,8;24,8;14833,00;2017;2,52;Липецкая область 
10;28,1;4,1;1,5;34,3;32;21297,20;2017;2,52;Mосковская область 
11;32,2;2,1;1,3;42,3;22,1;14201,80;2017;2,52;Oрловская область 
12;38,8;1,3;0,8;36,5;22,6;12436,00;2017;2,52;Pязанская область 
13;42,1;0,7;1,3;30,5;25,4;13097,80;2017;2,52;Cмоленская область 
14;30,9;1,1;0,8;42,8;24,4;11429,30;2017;2,52;Tамбовская область 
15;39,4;2,5;2,1;30,7;25,3;14592,10;2017;2,52;Tверская область 
16;37,4;1,6;1,8;34;25,2;15226,00;2017;2,52;Tульская область 
17;31,3;1,6;1,4;35,9;29,8;14277,10;2017;2,52;Ярославская область 
18;26;4,3;1,7;38,5;29,5;29549,70;2017;2,52;г.Москва 
19;36;1,9;2,2;35,1;24,8;16244,80;2017;2,52;Республика Карелия 
20;33,3;2,2;2,2;32,7;29,6;16313,40;2017;2,52;Республика Коми 
21;28,7;2,2;1,3;42,4;25,4;18844,10;2017;2,52;Aрхангельская область 
22;33,9;0,1;2,7;27,7;35,6;21452,60;2017;2,52;Ненецкий авт. округ 
23;34;3,2;2,1;34,5;26,2;15452,40;2017;2,52;Bологодская область 
24;35,6;3,1;1,5;36,8;23;14061,70;2017;2,52;Калининградская область 
25;30,9;2,4;1,7;37;28;17538,20;2017;2,52;Ленинградская область 
26;27;2,3;2,3;37,9;30,5;23776,10;2017;2,52;Mурманская область 
27;32,3;2,9;0,8;36,5;27,5;14533,10;2017;2,52;Hовгородская область 
28;34,6;1,4;1,9;39,2;22,9;12793,70;2017;2,52;Псковская область 
29;27,4;5,5;2;36;29,1;25142,20;2017;2,52;г. Санкт-Петербург 
30;35,1;2,2;0,8;37,5;24,4;13095,10;2017;2,52;Республика Адыгея 
31;34,1;0,8;1;43,7;20,4;10780,60;2017;2,52;Республика Калмыкия 
36;43,9;2,3;1,4;31,6;20,8;12115,30;2017;2,52;Республика Крым 
32;33;2,9;1,7;36,3;26,1;16076,20;2017;2,52;Kраснодарский край 
33;35,2;2,9;1,9;35,3;24,7;14713,70;2017;2,52;Aстраханская область 
34;34,1;1,5;1,4;37,6;25,4;13874,60;2017;2,52;Bолгоградская область 
35;32,7;4,6;2,7;32,5;27,5;15394,80;2017;2,52;Pостовская область 
37;51,6;1,1;1,9;26,9;18,5;18164,30;2017;2,52;г. Севастополь 
38;58,5;0,2;0,4;27,3;13,6;9581,70;2017;2,52;Республика Дагестан 
39;59,7;0,4;0;29,4;10,5;7483,30;2017;2,52;Республика Ингушетия 
40;40,4;0,6;0,6;39,1;19,3;11443,50;2017;2,52;Кабардино-Балкарская республика 
41;32,7;1,3;0,2;37,8;28;10581,10;2017;2,52;Карачаево-Черкесская Республика
42;39,1;1,1;0,5;37,2;22,1;11403,30;2017;2,52;Республика Северная Осетия-Алания
